Hawaii Year,Hawaii pCO2,Hawaii pH
1988.833333,330.9,8.1097
1988.920765,330.6,8.1092
1989.021918,324.3,8.1168
1989.156164,310.9,8.1316
1989.235616,317.7,8.1218
1989.378082,326.2,8.1158
1989.479452,334.3,8.1018
1989.575342,340.4,8.0991
1989.646575,343.8,8.093
1989.726027,337.8,8.099
1989.79726,350.5,8.0858
1989.906849,329.7,8.1101
1990.013699,310.8,8.1332
1990.126027,317.2,8.1229
1990.213699,310.1,8.134
1990.282192,320.2,8.1229
1990.353425,324.3,8.1167
1990.449315,318.9,8.1232
1990.564384,329.7,8.1084
1990.70411,353.6,8.085
1990.964384,322.4,8.1212
1991.093151,317.4,8.1256
1991.180822,318,8.1263
1991.273973,319.2,8.1231
1991.350685,326.5,8.1144
1991.427397,327.3,8.1139
1991.523288,327.8,8.112
1991.608219,339.7,8.0992
1991.715068,344.4,8.0943
1991.805479,338.6,8.0981
1991.934247,334.7,8.104
1992.013661,324.1,8.1177
1992.125683,317.8,8.1256
1992.180328,321.9,8.119
1992.295082,331.7,8.1099
1992.439891,325.5,8.1152
1992.510929,343,8.0977
1992.595628,342.4,8.0956
1992.729508,346.2,8.0933
1992.803279,351.6,8.087
1992.898907,332.3,8.1052
1992.959016,324,8.1161
1993.054795,309.6,8.1349
1993.131507,310.8,8.1325
1993.287671,333.7,8.1074
1993.386301,331,8.1105
1993.706849,360.2,8.0802
1993.830137,345.4,8.094
1994.054795,298.3,8.1508
1994.131507,309.5,8.1357
1994.186301,323.4,8.1204
1994.465753,336.7,8.1021
1994.564384,351.4,8.0858
1994.663014,348.4,8.0883
1994.728767,349.2,8.0875
1994.789041,349.7,8.088
1994.884932,335.1,8.1048
1995.10137,326.9,8.1099
1995.172603,323.6,8.1171
1995.263014,333.9,8.1038
1995.347945,325.1,8.1149
1995.578082,344.7,8.0937
1995.660274,345.1,8.0933
1995.736986,349,8.0886
1995.821918,339.5,8.0997
1995.879452,326.7,8.1135
1996.046448,331.8,8.1074
1996.237705,328.5,8.1122
1996.314208,332.8,8.1066
1996.39071,344.3,8.0946
1996.486339,344.8,8.0902
1996.571038,346.8,8.0889
1996.639344,352.7,8.0829
1996.754098,352.7,8.0836
1996.830601,345.8,8.0924
1996.945355,337.8,8.1014
1997.021918,330.4,8.1102
1997.134247,353,8.0856
1997.194521,328,8.1138
1997.271233,326.2,8.1155
1997.347945,338.2,8.101
1997.424658,333.3,8.1058
1997.520548,350,8.0895
1997.586301,351,8.089
1997.734247,359.2,8.0805
1997.928767,333.2,8.1083
1998.030137,332.5,8.1097
1998.136986,330.1,8.1135
1998.210959,337.2,8.1044
1998.287671,335.4,8.1078
1998.364384,338.1,8.105
1998.460274,348.7,8.0937
1998.536986,361.6,8.0805
1998.608219,358.5,8.0818
1998.742466,365.5,8.076
1998.8,359,8.0818
1998.863014,359.6,8.0825
1998.939726,347.8,8.0948
1999.035616,352.7,8.0895
1999.134247,344.5,8.0997
1999.208219,311.8,8.135
1999.284932,323.7,8.123
1999.356164,345,8.1
1999.534247,345.9,8.0938
1999.616438,365.4,8.0759
1999.789041,368.5,8.0711
1999.857534,359.7,8.0824
1999.956164,359.5,8.0818
2000.092896,346.3,8.0966
2000.166667,347.6,8.0946
2000.243169,348.6,8.0942
2000.319672,346.5,8.0941
2000.398907,371.1,8.0677
2000.472678,358.4,8.0831
2000.568306,354.3,8.0872
2000.644809,359.1,8.0827
2000.797814,373.2,8.0678
2000.915301,346,8.095
2000.969945,347.5,8.0922
2001.046575,348.1,8.0929
2001.123288,353.9,8.0881
2001.219178,350.8,8.0894
2001.29589,347.7,8.0938
2001.372603,347.7,8.0948
2001.452055,344.1,8.0984
2001.526027,353.8,8.0857
2001.60274,364.7,8.0757
2001.753425,372.1,8.068
2001.810959,353.9,8.0885
2001.879452,358.5,8.0814
2001.953425,349.4,8.0925
2002.043836,347,8.0959
2002.142466,335.9,8.108
2002.19726,336.8,8.1085
2002.386301,358.4,8.0811
2002.493151,367.1,8.071
2002.657534,367.5,8.0706
2002.767123,352.6,8.0862
2002.843836,351.9,8.0876
2002.90137,352.6,8.0876
2002.967123,347.4,8.0937
2003.046575,340.6,8.1025
2003.156164,339.5,8.104
2003.241096,341.8,8.1016
2003.312329,343.6,8.0963
2003.386301,349.5,8.0905
2003.468493,357.3,8.0824
2003.550685,363.6,8.0777
2003.638356,355.7,8.0829
2003.789041,351.8,8.0873
2003.860274,351.3,8.0884
2003.969863,330.2,8.1134
2004.060109,344.7,8.0967
2004.153005,332.9,8.1096
2004.218579,321.3,8.1244
2004.306011,341.8,8.0988
2004.382514,349.4,8.0878
2004.459016,352.5,8.0852
2004.532787,365.6,8.0701
2004.625683,366.1,8.071
2004.745902,366,8.0705
2004.833333,356.9,8.0836
2004.909836,347.6,8.0898
2004.972678,341.1,8.0992
2005.090411,343.5,8.0963
2005.175342,334.9,8.1065
2005.378082,350.2,8.0899
2005.454795,361,8.0809
2005.542466,373.7,8.0664
2005.619178,365,8.0751
2005.693151,380,8.0601
2005.772603,362.5,8.0777
2005.865753,356.3,8.0843
2005.950685,352.2,8.0888
2006.068493,330.3,8.1135
2006.126027,347.5,8.0953
2006.189041,335.4,8.1084
2006.252055,334.9,8.104
2006.40274,352.4,8.0901
2006.452055,373.5,8.0646
2006.531507,359.2,8.0804
2006.605479,365.6,8.0723
2006.709589,363.3,8.077
2006.805479,372.2,8.0679
2006.857534,362.6,8.0772
2006.942466,350.1,8.0908
2007.10411,338,8.1047
2007.219178,345.1,8.0973
2007.342466,358.9,8.0808
2007.517808,377.1,8.0631
2007.591781,373.8,8.066
2007.673973,378.6,8.0616
2007.756164,376.4,8.0639
2007.920548,372.1,8.0678
2007.972603,355.5,8.0856
2008.081967,347.4,8.0957
2008.150273,347.4,8.0957
2008.407104,371.1,8.0694
2008.486339,367,8.0735
2008.571038,376.9,8.0635
2008.628415,366.7,8.0729
2008.778689,361,8.0799
2008.918033,360.5,8.0816
2009.057534,344.1,8.0996
2009.134247,337,8.1084
2009.326027,354.6,8.0898
2009.405479,374.7,8.0693
2009.506849,375.3,8.0676
2009.564384,384.4,8.0584
2009.632877,381.3,8.0614
2009.734247,390.8,8.0541
2009.843836,375.7,8.0667
2009.942466,363.7,8.0801
2010.189041,347.4,8.0969
2010.265753,347.8,8.0968
2010.380822,359.9,8.0839
2010.438356,375.9,8.0688
2010.520548,373.1,8.0703
2010.60274,364.1,8.0785
2010.676712,373.2,8.0691
2010.758904,377,8.0651
2010.890411,370.4,8.0715
2011.079452,355.4,8.0891
2011.164384,351.2,8.0918
2011.279452,353.3,8.0885
2011.356164,362.9,8.0797
2011.550685,370.5,8.0696
2011.663014,369.2,8.0717
2011.739726,377,8.0645
2011.846575,373.3,8.0674
2011.912329,361.6,8.0802
2011.969863,362,8.0811
2012.051913,356.3,8.0876
2012.23224,353.5,8.0905
2012.336066,364.5,8.0789
2012.415301,370.4,8.0725
2012.489071,377.6,8.0664
2012.584699,387.1,8.0563
2012.631148,392.1,8.0499
2012.70765,394.6,8.0477
2012.770492,384.1,8.0587
2012.92623,374.7,8.0697
2013.120548,362.7,8.0821
2013.180822,361.4,8.084
2013.263014,363.7,8.0822
2013.378082,384.5,8.0571
2013.484932,385.5,8.0581
2013.69863,394.5,8.0499
2013.753425,379.5,8.0633
2013.824658,386.4,8.0563
2013.906849,370.8,8.0733
2013.972603,361.6,8.0824
2014.043836,363.4,8.0817
2014.126027,356.5,8.0888
2014.178082,362.8,8.0806
2014.276712,358.7,8.0857
2014.416438,368.2,8.0751
2014.49863,383.2,8.06
2014.706849,398.7,8.0417
2014.786301,388.6,8.0516
2014.893151,371.2,8.0709
2014.961644,369.1,8.0744
